name,listeners,playcount,url,tags
Maren Morris,457434,7342115,https://www.last.fm/music/Maren+Morris,"['country', 'female vocalists', 'country pop', 'seen live', 'pop']"
Doja Cat,2954292,350677671,https://www.last.fm/music/Doja+Cat,"['pop', 'rnb', 'rap', 'Hip-Hop', 'hip hop']"
Gabby Barrett,190629,2234462,https://www.last.fm/music/Gabby+Barrett,"['country', 'American Idol', 'american', 'country pop', 'contemporary country']"
Jack Harlow,1591014,66928504,https://www.last.fm/music/Jack+Harlow,"['rap', 'Hip-Hop', 'trap', 'pop rap', 'hip hop']"
Tones And I,808307,11149579,https://www.last.fm/music/Tones+And+I,"['pop', 'australian', 'indie pop', 'female vocalists', 'alternative']"
Arizona Zervas,740626,10805064,https://www.last.fm/music/Arizona+Zervas,"['Hip-Hop', 'rap', 'USA', 'rnb', 'american']"
SAINt JHN,874224,19449818,https://www.last.fm/music/SAINt+JHN,"['Hip-Hop', 'rap', 'rnb', 'trap', 'electronic']"
Trevor Daniel,701385,10759908,https://www.last.fm/music/Trevor+Daniel,"['pop', 'rnb', 'Hip-Hop', 'rap', 'electronic']"
lil Mosey,813532,21073680,https://www.last.fm/music/lil+Mosey,"['cloud rap', 'Hip-Hop', 'rap', 'lil mosey', 'american']"
Jawsh 685,486083,11266487,https://www.last.fm/music/Jawsh+685,"['Hip-Hop', 'electronic', 'pop', 'New Zealand', 'cheap']"
BTS,1914647,2261940644,https://www.last.fm/music/BTS,"['k-pop', 'Korean', 'Kpop', 'bts', 'pop']"
Powfu,903262,22833089,https://www.last.fm/music/Powfu,"['Hip-Hop', 'emo rap', 'rap', 'Lo-Fi', 'indie']"
24kgoldn,1029999,20670558,https://www.last.fm/music/24kgoldn,"['Hip-Hop', 'pop', 'rap', 'trap', 'rnb']"
Pop Smoke,1346176,115456287,https://www.last.fm/music/Pop+Smoke,"['drill', 'rap', 'trap', 'Hip-Hop', 'hip hop']"
Black Eyed Peas,5256649,123828499,https://www.last.fm/music/Black+Eyed+Peas,"['Hip-Hop', 'pop', 'rnb', 'rap', 'hip hop']"
Rod Wave,535814,35996306,https://www.last.fm/music/Rod+Wave,"['rap', 'trap', 'Hip-Hop', 'hip hop', 'florida']"
JP Saxe,608449,8424097,https://www.last.fm/music/JP+Saxe,"['pop', 'singer-songwriter', 'indie', 'indie pop', 'Canadian']"
Old Dominion,243890,4911587,https://www.last.fm/music/Old+Dominion,"['country', 'black metal', 'seen live', 'rock', 'alternative rock']"
SurFaces,781096,13249236,https://www.last.fm/music/SurFaces,"['pop', 'indie', 'soul', 'USA', 'indie pop']"
StaySolidRocky,368587,3368343,https://www.last.fm/music/StaySolidRocky,"['Hip-Hop', 'rap', 'electronic', 'indie', 'Avant-Garde']"
Maddie,816,4960,https://www.last.fm/music/Maddie,[]
Mariah Carey,4334668,191756222,https://www.last.fm/music/Mariah+Carey,"['pop', 'rnb', 'female vocalists', 'soul', 'Mariah Carey']"
Carly Pearce,119946,2127236,https://www.last.fm/music/Carly+Pearce,"['country', 'female vocalists', 'seen live', 'USA', 'contemporary country']"
benee,861099,18135733,https://www.last.fm/music/benee,"['pop', 'indie pop', 'New Zealand', 'indie', 'female vocalists']"
THE SCOTTS,548884,5259673,https://www.last.fm/music/+noredirect/THE+SCOTTS,"['rap', 'kid cudi', 'travis scott', 'Hip-Hop', 'hip hop']"
Miranda Lambert,913067,14615547,https://www.last.fm/music/Miranda+Lambert,"['country', 'female vocalists', 'singer-songwriter', 'Miranda Lambert', 'american']"
Jhene Aiko,4655,54623,https://www.last.fm/music/+noredirect/Jhene+Aiko,"['rnb', 'soul', 'pop', 'female vocalists', 'r&b']"
surf mesa,464140,3891794,https://www.last.fm/music/surf+mesa,"['electronic', 'Lo-Fi', 'seattle', 'USA', 'elektro']"
MoneyBagg Yo,618418,17956727,https://www.last.fm/music/MoneyBagg+Yo,"['rap', 'trap', 'Hip-Hop', 'memphis', 'hip hop']"
H.E.R.,1114727,28547154,https://www.last.fm/music/H.E.R.,"['rnb', 'soul', 'pop', 'seen live', 'alternative rnb']"
Olivia Rodrigo,2526256,426336671,https://www.last.fm/music/Olivia+Rodrigo,"['pop', 'pop rock', 'seen live', 'rock', 'indie pop']"
Silk Sonic,9500,217294,https://www.last.fm/music/Silk+Sonic,"['soul', 'funk', 'rnb', 'pop', 'Smooth Soul']"
The Kid Laroi,1996501,122032001,https://www.last.fm/music/The+Kid+Laroi,"['rap', 'emo rap', 'Hip-Hop', 'australian', 'pop']"
